date,weekday,hour,weather,is_weekend,event,has_event,holiday,covers,total_sales,top_dish,dish_orders
2025-01-01,wednesday,10,rain,false,none,false,true,2,110,salmon_bowl,1
2025-01-01,wednesday,11,rain,false,none,false,true,3,132,roast_chicken,1
2025-01-01,wednesday,12,rain,false,none,false,true,8,464,veggie_pasta,2
2025-01-01,wednesday,13,rain,false,none,false,true,7,322,beef_burger,2
2025-01-01,wednesday,14,rain,false,none,false,true,4,204,salmon_bowl,1
2025-01-01,wednesday,15,rain,false,none,false,true,2,96,caesar_salad,1
2025-01-01,wednesday,16,rain,false,none,false,true,3,147,beef_burger,1
2025-01-01,wednesday,17,rain,false,none,false,true,6,330,salmon_bowl,1
2025-01-01,wednesday,18,rain,false,none,false,true,11,517,roast_chicken,3
2025-01-01,wednesday,19,rain,false,none,false,true,12,672,caesar_salad,2
2025-01-01,wednesday,20,rain,false,none,false,true,8,376,veggie_pasta,2
2025-01-01,wednesday,21,rain,false,none,false,true,6,300,caesar_salad,1
2025-01-01,wednesday,22,rain,false,none,false,true,2,98,beef_burger,1
2025-01-01,wednesday,23,rain,false,none,false,true,1,58,salmon_bowl,1
2025-01-02,thursday,10,rain,false,none,false,false,2,116,beef_burger,1
2025-01-02,thursday,11,rain,false,none,false,false,3,117,beef_burger,1
2025-01-02,thursday,12,rain,false,none,false,false,7,322,beef_burger,1
2025-01-02,thursday,13,rain,false,none,false,false,8,384,veggie_pasta,1
2025-01-02,thursday,14,rain,false,none,false,false,4,232,caesar_salad,1
2025-01-02,thursday,15,rain,false,none,false,false,2,110,roast_chicken,1
2025-01-02,thursday,16,rain,false,none,false,false,3,168,beef_burger,1
2025-01-02,thursday,17,rain,false,none,false,false,5,270,caesar_salad,1
2025-01-02,thursday,18,rain,false,none,false,false,10,420,caesar_salad,2
2025-01-02,thursday,19,rain,false,none,false,false,12,480,beef_burger,3
2025-01-02,thursday,20,rain,false,none,false,false,9,414,beef_burger,2
2025-01-02,thursday,21,rain,false,none,false,false,6,246,roast_chicken,2
2025-01-02,thursday,22,rain,false,none,false,false,2,116,beef_burger,1
2025-01-02,thursday,23,rain,false,none,false,false,1,38,roast_chicken,1
2025-01-03,friday,10,hot,true,none,false,false,3,174,caesar_salad,1
2025-01-03,friday,11,hot,true,none,false,false,6,252,veggie_pasta,1
2025-01-03,friday,12,hot,true,none,false,false,12,648,caesar_salad,2
2025-01-03,friday,13,hot,true,none,false,false,13,533,veggie_pasta,3
2025-01-03,friday,14,hot,true,none,false,false,8,376,salmon_bowl,1
2025-01-03,friday,15,hot,true,none,false,false,4,160,veggie_pasta,1
2025-01-03,friday,16,hot,true,none,false,false,5,275,roast_chicken,1
2025-01-03,friday,17,hot,true,none,false,false,8,440,beef_burger,2
2025-01-03,friday,18,hot,true,none,false,false,16,704,veggie_pasta,4
2025-01-03,friday,19,hot,true,none,false,false,20,940,salmon_bowl,3
2025-01-03,friday,20,hot,true,none,false,false,16,864,beef_burger,3
2025-01-03,friday,21,hot,true,none,false,false,9,342,roast_chicken,2
2025-01-03,friday,22,hot,true,none,false,false,3,120,roast_chicken,1
2025-01-03,friday,23,hot,true,none,false,false,1,39,roast_chicken,1
2025-01-04,saturday,10,clear,true,none,false,false,4,224,roast_chicken,1
2025-01-04,saturday,11,clear,true,none,false,false,7,357,beef_burger,1
2025-01-04,saturday,12,clear,true,none,false,false,15,765,beef_burger,3
2025-01-04,saturday,13,clear,true,none,false,false,18,1044,roast_chicken,6
2025-01-04,saturday,14,clear,true,none,false,false,9,432,beef_burger,2
2025-01-04,saturday,15,clear,true,none,false,false,5,275,roast_chicken,1
2025-01-04,saturday,16,clear,true,none,false,false,6,270,beef_burger,2
2025-01-04,saturday,17,clear,true,none,false,false,11,605,salmon_bowl,2
2025-01-04,saturday,18,clear,true,none,false,false,21,798,veggie_pasta,5
2025-01-04,saturday,19,clear,true,none,false,false,28,1204,salmon_bowl,5
2025-01-04,saturday,20,clear,true,none,false,false,20,780,caesar_salad,3
2025-01-04,saturday,21,clear,true,none,false,false,11,572,beef_burger,2
2025-01-04,saturday,22,clear,true,none,false,false,5,275,salmon_bowl,1
2025-01-04,saturday,23,clear,true,none,false,false,2,88,roast_chicken,1
2025-01-05,sunday,10,rain,true,none,false,false,2,108,veggie_pasta,1
2025-01-05,sunday,11,rain,true,none,false,false,4,216,roast_chicken,1
2025-01-05,sunday,12,rain,true,none,false,false,9,405,veggie_pasta,2
2025-01-05,sunday,13,rain,true,none,false,false,10,560,veggie_pasta,2
2025-01-05,sunday,14,rain,true,none,false,false,6,336,beef_burger,1
2025-01-05,sunday,15,rain,true,none,false,false,3,144,beef_burger,1
2025-01-05,sunday,16,rain,true,none,false,false,3,141,veggie_pasta,1
2025-01-05,sunday,17,rain,true,none,false,false,8,304,caesar_salad,1
2025-01-05,sunday,18,rain,true,none,false,false,13,520,caesar_salad,2
2025-01-05,sunday,19,rain,true,none,false,false,13,637,roast_chicken,4
2025-01-05,sunday,20,rain,true,none,false,false,12,516,beef_burger,3
2025-01-05,sunday,21,rain,true,none,false,false,7,406,beef_burger,2
2025-01-05,sunday,22,rain,true,none,false,false,3,123,veggie_pasta,1
2025-01-05,sunday,23,rain,true,none,false,false,1,41,roast_chicken,1
2025-01-06,monday,10,clear,false,none,false,false,2,92,salmon_bowl,1
2025-01-06,monday,11,clear,false,none,false,false,3,117,caesar_salad,1
2025-01-06,monday,12,clear,false,none,false,false,8,304,beef_burger,2
2025-01-06,monday,13,clear,false,none,false,false,7,301,caesar_salad,1
2025-01-06,monday,14,clear,false,none,false,false,5,190,beef_burger,1
2025-01-06,monday,15,clear,false,none,false,false,3,126,salmon_bowl,1
2025-01-06,monday,16,clear,false,none,false,false,3,126,veggie_pasta,1
2025-01-06,monday,17,clear,false,none,false,false,5,195,beef_burger,1
2025-01-06,monday,18,clear,false,none,false,false,9,369,roast_chicken,2
2025-01-06,monday,19,clear,false,none,false,false,12,684,caesar_salad,2
2025-01-06,monday,20,clear,false,none,false,false,11,473,roast_chicken,3
2025-01-06,monday,21,clear,false,none,false,false,6,228,caesar_salad,1
2025-01-06,monday,22,clear,false,none,false,false,3,153,salmon_bowl,1
2025-01-06,monday,23,clear,false,none,false,false,1,46,salmon_bowl,1
2025-01-07,tuesday,10,rain,false,none,false,false,1,52,roast_chicken,1
2025-01-07,tuesday,11,rain,false,none,false,false,3,135,caesar_salad,1
2025-01-07,tuesday,12,rain,false,none,false,false,6,240,beef_burger,2
2025-01-07,tuesday,13,rain,false,none,false,false,6,300,veggie_pasta,1
2025-01-07,tuesday,14,rain,false,none,false,false,4,152,beef_burger,1
2025-01-07,tuesday,15,rain,false,none,false,false,2,92,roast_chicken,1
2025-01-07,tuesday,16,rain,false,none,false,false,2,96,beef_burger,1
2025-01-07,tuesday,17,rain,false,none,false,false,5,280,roast_chicken,1
2025-01-07,tuesday,18,rain,false,none,false,false,7,378,beef_burger,2
2025-01-07,tuesday,19,rain,false,none,false,false,9,396,salmon_bowl,1
2025-01-07,tuesday,20,rain,false,none,false,false,7,336,veggie_pasta,1
2025-01-07,tuesday,21,rain,false,none,false,false,5,235,roast_chicken,1
2025-01-07,tuesday,22,rain,false,none,false,false,2,94,beef_burger,1
2025-01-07,tuesday,23,rain,false,none,false,false,1,50,veggie_pasta,1
2025-01-08,wednesday,10,hot,false,none,false,false,2,94,roast_chicken,1
2025-01-08,wednesday,11,hot,false,none,false,false,4,192,veggie_pasta,1
2025-01-08,wednesday,12,hot,false,none,false,false,9,477,roast_chicken,3
2025-01-08,wednesday,13,hot,false,none,false,false,10,400,salmon_bowl,2
2025-01-08,wednesday,14,hot,false,none,false,false,5,200,veggie_pasta,1
2025-01-08,wednesday,15,hot,false,none,false,false,3,135,veggie_pasta,1
2025-01-08,wednesday,16,hot,false,none,false,false,3,159,roast_chicken,1
2025-01-08,wednesday,17,hot,false,none,false,false,7,406,beef_burger,2
2025-01-08,wednesday,18,hot,false,none,false,false,11,550,beef_burger,2
2025-01-08,wednesday,19,hot,false,none,false,false,13,533,roast_chicken,4
2025-01-08,wednesday,20,hot,false,none,false,false,10,540,salmon_bowl,2
2025-01-08,wednesday,21,hot,false,none,false,false,7,287,caesar_salad,1
2025-01-08,wednesday,22,hot,false,none,false,false,3,165,veggie_pasta,1
2025-01-08,wednesday,23,hot,false,none,false,false,1,57,caesar_salad,1
2025-01-09,thursday,10,hot,false,none,false,false,3,159,roast_chicken,1
2025-01-09,thursday,11,hot,false,none,false,false,5,230,salmon_bowl,1
2025-01-09,thursday,12,hot,false,none,false,false,11,506,veggie_pasta,2
2025-01-09,thursday,13,hot,false,none,false,false,11,528,roast_chicken,3
2025-01-09,thursday,14,hot,false,none,false,false,7,315,roast_chicken,2
2025-01-09,thursday,15,hot,false,none,false,false,3,153,roast_chicken,1
2025-01-09,thursday,16,hot,false,none,false,false,4,176,beef_burger,1
2025-01-09,thursday,17,hot,false,none,false,false,8,304,salmon_bowl,2
2025-01-09,thursday,18,hot,false,none,false,false,14,532,beef_burger,4
2025-01-09,thursday,19,hot,false,none,false,false,15,765,beef_burger,3
2025-01-09,thursday,20,hot,false,none,false,false,14,630,salmon_bowl,2
2025-01-09,thursday,21,hot,false,none,false,false,8,400,veggie_pasta,1
2025-01-09,thursday,22,hot,false,none,false,false,3,129,beef_burger,1
2025-01-09,thursday,23,hot,false,none,false,false,1,55,caesar_salad,1
2025-01-10,friday,10,clear,true,none,false,false,4,208,roast_chicken,1
2025-01-10,friday,11,clear,true,none,false,false,6,312,beef_burger,1
2025-01-10,friday,12,clear,true,none,false,false,15,765,beef_burger,3
2025-01-10,friday,13,clear,true,none,false,false,12,660,roast_chicken,3
2025-01-10,friday,14,clear,true,none,false,false,9,360,roast_chicken,3
2025-01-10,friday,15,clear,true,none,false,false,5,225,salmon_bowl,1
2025-01-10,friday,16,clear,true,none,false,false,5,210,roast_chicken,1
2025-01-10,friday,17,clear,true,none,false,false,9,468,caesar_salad,1
2025-01-10,friday,18,clear,true,none,false,false,18,1026,roast_chicken,6
2025-01-10,friday,19,clear,true,none,false,false,22,946,salmon_bowl,4
2025-01-10,friday,20,clear,true,none,false,false,15,705,roast_chicken,4
2025-01-10,friday,21,clear,true,none,false,false,11,484,beef_burger,2
2025-01-10,friday,22,clear,true,none,false,false,4,164,veggie_pasta,1
2025-01-10,friday,23,clear,true,none,false,false,1,41,salmon_bowl,1
2025-01-11,saturday,10,rain,true,none,false,false,3,174,roast_chicken,1
2025-01-11,saturday,11,rain,true,none,false,false,6,246,salmon_bowl,1
2025-01-11,saturday,12,rain,true,none,false,false,12,624,caesar_salad,2
2025-01-11,saturday,13,rain,true,none,false,false,12,696,salmon_bowl,2
2025-01-11,saturday,14,rain,true,none,false,false,8,424,veggie_pasta,2
2025-01-11,saturday,15,rain,true,none,false,false,5,240,veggie_pasta,1
2025-01-11,saturday,16,rain,true,none,false,false,5,260,roast_chicken,1
2025-01-11,saturday,17,rain,true,none,false,false,9,450,veggie_pasta,2
2025-01-11,saturday,18,rain,true,none,false,false,15,795,beef_burger,3
2025-01-11,saturday,19,rain,true,none,false,false,20,1140,beef_burger,5
2025-01-11,saturday,20,rain,true,none,false,false,14,616,roast_chicken,3
2025-01-11,saturday,21,rain,true,none,false,false,10,450,veggie_pasta,2
2025-01-11,saturday,22,rain,true,none,false,false,4,152,veggie_pasta,1
2025-01-11,saturday,23,rain,true,none,false,false,1,47,salmon_bowl,1
2025-01-12,sunday,10,clear,true,none,false,false,3,147,veggie_pasta,1
2025-01-12,sunday,11,clear,true,none,false,false,5,205,roast_chicken,1
2025-01-12,sunday,12,clear,true,none,false,false,12,516,salmon_bowl,2
2025-01-12,sunday,13,clear,true,none,false,false,13,728,beef_burger,3
2025-01-12,sunday,14,clear,true,none,false,false,7,287,beef_burger,2
2025-01-12,sunday,15,clear,true,none,false,false,4,188,beef_burger,1
2025-01-12,sunday,16,clear,true,none,false,false,5,195,beef_burger,1
2025-01-12,sunday,17,clear,true,none,false,false,10,530,roast_chicken,2
2025-01-12,sunday,18,clear,true,none,false,false,13,689,beef_burger,3
2025-01-12,sunday,19,clear,true,none,false,false,17,901,roast_chicken,4
2025-01-12,sunday,20,clear,true,none,false,false,13,728,veggie_pasta,3
2025-01-12,sunday,21,clear,true,none,false,false,8,448,roast_chicken,2
2025-01-12,sunday,22,clear,true,none,false,false,3,165,roast_chicken,1
2025-01-12,sunday,23,clear,true,none,false,false,1,45,salmon_bowl,1
2025-01-13,monday,10,clear,false,sports,true,false,3,168,beef_burger,1
2025-01-13,monday,11,clear,false,sports,true,false,5,220,salmon_bowl,1
2025-01-13,monday,12,clear,false,sports,true,false,10,450,roast_chicken,2
2025-01-13,monday,13,clear,false,sports,true,false,9,468,roast_chicken,3
2025-01-13,monday,14,clear,false,sports,true,false,6,282,roast_chicken,2
2025-01-13,monday,15,clear,false,sports,true,false,4,180,beef_burger,1
2025-01-13,monday,16,clear,false,sports,true,false,4,176,veggie_pasta,1
2025-01-13,monday,17,clear,false,sports,true,false,8,368,veggie_pasta,2
2025-01-13,monday,18,clear,false,sports,true,false,11,517,roast_chicken,3
2025-01-13,monday,19,clear,false,sports,true,false,17,884,caesar_salad,2
2025-01-13,monday,20,clear,false,sports,true,false,14,644,salmon_bowl,2
2025-01-13,monday,21,clear,false,sports,true,false,8,312,roast_chicken,2
2025-01-13,monday,22,clear,false,sports,true,false,3,114,veggie_pasta,1
2025-01-13,monday,23,clear,false,sports,true,false,1,56,salmon_bowl,1
2025-01-14,tuesday,10,clear,false,concert,true,false,3,129,salmon_bowl,1
2025-01-14,tuesday,11,clear,false,concert,true,false,6,258,caesar_salad,1
2025-01-14,tuesday,12,clear,false,concert,true,false,14,560,salmon_bowl,2
2025-01-14,tuesday,13,clear,false,concert,true,false,13,533,beef_burger,3
2025-01-14,tuesday,14,clear,false,concert,true,false,7,329,salmon_bowl,1
2025-01-14,tuesday,15,clear,false,concert,true,false,4,156,salmon_bowl,1
2025-01-14,tuesday,16,clear,false,concert,true,false,5,250,beef_burger,1
2025-01-14,tuesday,17,clear,false,concert,true,false,11,605,roast_chicken,3
2025-01-14,tuesday,18,clear,false,concert,true,false,14,798,veggie_pasta,3
2025-01-14,tuesday,19,clear,false,concert,true,false,20,880,salmon_bowl,3
2025-01-14,tuesday,20,clear,false,concert,true,false,15,795,beef_burger,3
2025-01-14,tuesday,21,clear,false,concert,true,false,11,495,veggie_pasta,2
2025-01-14,tuesday,22,clear,false,concert,true,false,4,204,roast_chicken,1
2025-01-14,tuesday,23,clear,false,concert,true,false,1,52,caesar_salad,1
2025-01-15,wednesday,10,rain,false,none,false,false,2,102,salmon_bowl,1
2025-01-15,wednesday,11,rain,false,none,false,false,4,220,roast_chicken,1
2025-01-15,wednesday,12,rain,false,none,false,false,7,294,veggie_pasta,2
2025-01-15,wednesday,13,rain,false,none,false,false,7,357,salmon_bowl,1
2025-01-15,wednesday,14,rain,false,none,false,false,5,190,beef_burger,1
2025-01-15,wednesday,15,rain,false,none,false,false,3,159,veggie_pasta,1
2025-01-15,wednesday,16,rain,false,none,false,false,3,144,veggie_pasta,1
2025-01-15,wednesday,17,rain,false,none,false,false,6,288,beef_burger,2
2025-01-15,wednesday,18,rain,false,none,false,false,11,550,roast_chicken,3
2025-01-15,wednesday,19,rain,false,none,false,false,13,689,roast_chicken,4
2025-01-15,wednesday,20,rain,false,none,false,false,11,638,beef_burger,3
